0.000,0.449,0.000,0.000,0.000,0.000,0.000
0.449,0.000,0.508,0.000,0.000,0.000,0.000
0.000,0.508,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000

0.543,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.400,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.841,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.677,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.438,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.503,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.707

0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.191,0.488,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000

0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.192,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.334,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
