x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
-1.4143,0.9518,-1.4078,2.552,-2.0801,1.603,-1.4671,0.1986,-0.2755,-0.1572,1.4617,-1.0711,-0.7591,-0.1617,-1.7746,0.0589,-0.1762,1.8073,3.1426,1.2631
-1.2482,0.7671,-1.4317,2.8488,-1.8025,1.4372,-1.7285,0.4893,-0.5452,-0.3005,1.7861,-0.7758,-0.7464,0.3768,-1.6052,0.1028,0.0911,2.171,2.1674,1.2398
-1.0827,0.1644,-0.6418,2.4236,-2.2445,0.992,-1.8988,0.5424,-0.3772,-0.5211,1.5997,-0.7008,-0.4351,0.0635,-1.1548,-0.388,-0.4679,1.4315,3.2114,1.1697
-1.3861,0.2272,-0.4375,2.1567,-2.338,1.2194,-2.3729,0.9876,-0.2891,-0.5716,1.1002,-0.8418,-0.4673,-0.3316,-1.0034,-0.3792,-0.4892,1.4688,3.2856,1.1161
-1.1885,0.5945,-0.5431,1.7317,-2.1672,1.5624,-1.9469,0.7237,0.1954,-0.7084,0.4895,-0.742,-0.0791,-0.3303,-0.7359,0.2813,-0.0634,1.7099,2.594,1.0316
-1.2043,0.1754,0.1136,1.3276,-2.2931,1.6307,-1.7314,0.8066,-0.0089,-0.6851,-0.0216,-1.2834,-0.4533,-0.6849,-0.796,0.3346,-0.1139,1.8392,1.9996,0.8642
-1.682,-0.0518,0.3486,0.6997,-2.1763,1.4421,-2.3754,1.127,-0.5518,-0.2615,-0.192,-0.626,-0.3502,-0.8601,-0.8759,0.0322,0.717,1.2885,1.8942,0.4321
-1.5245,-0.1848,0.3435,0.5014,-1.9262,1.2672,-2.3734,0.9429,-0.089,-0.006,-0.7859,-1.0016,-0.5426,-0.5438,-0.7816,-0.5482,0.6818,0.9012,2.1395,0.5101
-1.3989,0.1611,-0.1167,0.0243,-1.0794,1.2903,-2.1366,1.1504,-0.0705,0.0059,-0.1944,-0.4582,-0.645,-0.4092,-0.5744,-0.0267,1.1322,1.0818,0.943,0.3081
-0.993,0.0276,-0.0271,-0.5373,-0.3025,0.8276,-1.358,0.9966,0.2363,0.004,-0.5881,-0.4754,-0.7479,0.0726,-0.4398,-0.1924,1.4119,1.0975,0.2326,-0.1218
0.0194,0.1773,0.5449,-0.7025,0.2215,0.4013,-0.4229,0.6814,-0.2846,-0.1977,-0.2167,-0.2094,-0.4415,-0.1627,-0.0179,-0.1421,0.8296,-0.0903,0.0019,0.5216
-0.1833,-0.0129,0.2738,-0.6392,0.36,0.0386,-0.1472,0.498,-0.1554,-0.6918,-0.869,-0.4805,-0.4825,0.146,0.6616,-0.0569,0.3016,-0.197,0.3352,0.209
0.0247,-0.2661,0.2438,-0.6012,0.1281,-0.1016,-0.2121,0.1668,0.1169,-0.2325,-0.3836,-0.4244,-0.6602,0.2708,0.7853,0.1311,0.1543,-0.1934,0.8107,0.2996
-0.4582,-0.046,-0.236,-1.186,0.2849,0.0733,-0.115,0.3196,-0.3931,0.2856,-0.2081,0.2371,-0.347,0.4117,0.536,0.0744,0.6353,-0.4833,0.3872,0.4197
-0.3501,-0.005,-0.2171,-1.1392,0.2497,-0.3438,-0.1712,0.2594,-0.0903,-0.0256,-0.2757,0.4485,-0.4229,0.976,0.6821,-0.0067,0.1982,-0.7716,0.0833,0.265
-0.2058,0.1181,0.283,-1.2053,0.3043,-0.7758,-0.5063,0.0978,0.268,-0.117,-0.3228,0.0988,-0.3009,0.9254,0.763,-0.363,0.1756,-0.7091,-0.1336,0.3049
0.2642,0.3891,-0.151,-1.3051,0.7394,-0.8123,0.2205,-0.087,0.7587,0.0144,-0.5711,-0.3609,-0.9247,0.9496,0.494,0.1847,0.0019,0.1377,-0.2061,0.0726
0.5878,-0.0433,0.192,-1.3116,0.5027,-0.8795,0.6017,-0.3527,-0.2157,-0.7619,0.1458,-0.1365,-0.8064,0.5352,0.5516,0.8303,0.3413,0.1342,0.0195,0.2256
0.7783,-0.2017,0.222,-1.1444,0.4019,-0.8165,1.1578,0.0341,-0.6448,-0.472,0.809,0.1547,-0.7246,0.4608,0.3815,1.0091,-0.0408,-0.3762,-0.2264,-0.0464
-0.1778,0.1131,0.7759,-0.4376,-0.0855,-0.9108,0.0358,0.2198,-0.2522,-0.0459,0.2909,-0.6124,-0.7998,0.5261,0.0504,-0.1456,-0.4172,-0.6929,0.7427,-0.0717
-0.256,0.4389,-0.0553,-0.3333,0.2532,-0.5948,-0.3224,0.1278,-0.3027,-0.0932,0.7291,-0.5301,-0.5132,0.4202,0.0056,0.2307,0.0118,-0.3434,1.4483,0.0154
-0.3346,0.6451,-0.2738,-0.2445,0.5825,-0.2957,-0.2963,0.581,0.2024,0.2333,0.8825,-0.1499,-0.3061,0.6629,0.0077,0.0374,0.0077,0.2654,0.6671,0.2932
-0.1268,0.5168,-0.1956,0.1596,0.0197,-0.3446,-0.4202,0.1107,0.0489,-0.077,0.7639,-0.1895,-0.7972,0.6723,0.1955,0.0468,-0.3836,0.1282,0.9953,0.7836
-0.5843,0.2632,-0.6669,0.397,-0.1653,-0.4611,-0.956,0.3027,-0.1606,-0.0593,0.576,-0.3242,-0.5711,0.4419,0.4338,0.3309,-0.133,0.2144,1.3958,0.2751
-0.1474,0.5528,-0.5606,0.4484,-0.2158,-0.1331,-0.6164,0.1184,-0.0053,0.0465,0.3372,-0.5624,-0.5725,0.424,0.4546,0.2227,-0.4837,0.5443,1.8254,0.7352
0.1662,0.1603,-0.7044,0.0261,-0.3058,0.0871,-0.3628,-0.0423,0.214,-0.2115,0.2137,-0.3321,-0.4741,0.5307,0.4414,0.3746,-0.4763,0.6988,1.343,0.6838
0.2136,-0.0064,-0.3895,-0.2514,-0.6434,0.169,-0.1341,0.2469,-0.2835,-0.7087,0.088,-0.4917,-0.8166,0.6743,-0.098,0.4835,-0.4865,0.7546,1.2313,0.6662
-0.021,-0.19,-0.0347,-0.2655,-0.6877,0.0551,0.103,0.1911,-0.4128,-0.0675,0.3986,-0.2134,-0.497,0.4153,-0.2557,0.4714,-0.3049,0.4752,0.7573,0.385
-0.0989,0.0942,0.1241,-0.2382,-0.4773,-0.2777,-0.1624,0.1943,-0.1144,0.186,0.2191,-0.0719,-0.4259,0.4794,-0.1461,0.1108,-0.5394,0.0641,1.0625,0.2433
-0.2099,0.3205,-0.3495,-0.3565,-0.2704,-0.2188,-0.0041,-0.3857,0.0719,-0.0373,0.3511,-0.1487,-0.1934,0.6824,0.0944,0.4137,-0.5494,0.3733,0.7958,0.233
-0.1397,0.3228,-0.3409,-0.6517,0.0249,-0.1002,-0.3238,0.1937,-0.1757,-0.1326,0.1299,0.1507,-0.3995,0.8696,-0.2124,0.9148,0.166,0.3813,0.7486,0.0886
-0.2794,-0.0204,-0.1552,-0.6157,-0.2447,-0.2343,-0.5487,0.3796,-0.0574,0.1138,0.1427,0.361,-0.1138,1.0054,0.5089,-0.1037,0.0471,0.0558,0.5038,0.0847
-0.0158,0.034,-0.1596,-0.9356,-0.1616,-0.3369,-0.3494,0.578,0.0446,0.144,-0.3365,0.4712,-0.4968,1.2924,-0.1489,-0.1141,-0.2855,-0.1566,0.1576,0.7403
-0.223,0.3907,-0.3377,-1.2597,0.0245,-0.6773,-0.2693,0.3117,0.2383,-0.1263,-0.3116,0.676,0.2993,1.5893,0.3421,0.1708,-0.3648,-0.0438,0.0883,0.369
0.2365,-0.0396,-0.2602,-0.9156,-0.1231,-0.7695,0.4399,0.3762,0.4337,-0.8211,-0.4321,0.9179,0.1037,1.4724,0.5386,0.7338,-0.5438,0.1165,0.4408,0.1067
0.02,-0.0815,-0.031,-1.2245,0.2468,-0.4559,0.2534,1.0205,0.3439,-0.7427,-0.4565,1.2524,0.1869,1.4745,0.2327,0.7195,-0.0982,0.2617,-0.3746,-0.063
0.3026,-0.1312,0.1596,-1.2959,0.3305,-0.7094,0.0409,1.5146,0.963,-0.5765,-0.6854,1.0296,0.7195,1.7436,0.1142,0.7338,0.1366,0.9145,-0.5768,-0.5926
0.8063,-0.2035,0.9063,-1.3722,0.1336,-0.7414,1.2389,0.1785,1.1331,-0.0237,-0.8045,0.9918,0.5697,1.2077,0.8526,0.6345,-0.7096,0.2135,-1.0245,0.1041
0.723,-0.3086,0.7584,-1.6565,0.128,-0.8316,0.4115,0.3831,0.6776,-0.2904,-0.9355,0.2735,-0.273,0.963,0.8663,0.6223,-0.5983,0.3197,-0.4827,-0.5826
0.5021,-0.6484,0.5223,-1.6024,0.3458,-0.7983,0.6693,1.0015,-0.153,-0.3108,-0.3247,0.2419,-0.4536,0.7278,0.7428,0.9963,-0.3172,0.0953,0.0513,-0.4519
0.8297,-0.5731,0.8917,-1.7962,0.3269,-0.87,0.595,0.553,0.2501,-0.3138,-0.3587,0.1607,-0.3906,0.9029,0.9607,0.0028,-0.4197,-0.7546,0.5561,-0.3321
0.3644,-0.198,0.1767,-1.7876,0.7234,-0.3724,1.0391,0.5848,0.4253,0.1256,-0.5564,0.0328,-0.6755,1.0879,0.936,0.455,-0.6067,-0.3538,-0.0279,-0.2273
0.5918,-0.0682,0.3271,-1.3646,0.4061,-0.4247,0.6042,0.3284,0.1876,-0.1776,-0.44,0.1028,-0.2366,1.2725,1.1359,0.7754,-0.6033,-0.4939,0.6153,0.2758
