0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-0.000,-0.339,-0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.417,-0.482,-0.281,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.151,0.000,-0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.475,0.000,0.000,0.000,0.442,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.133,0.000,-0.379,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,-0.101,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.422,0.000,0.060,0.395,0.305,-0.419,-0.030,0.000,-0.466,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,-0.314,-0.317,0.000,0.100,0.000,0.000,0.000,0.000,0.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,-0.122,0.106,-0.031,0.000,0.000,0.000,0.000,0.000,0.441,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,-0.202,0.000,0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,-0.338,0.000,0.000,0.000,0.000,0.000,0.000,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.119,0.000,-0.480,0.000,0.000,0.000,0.464,0.346,-0.154,-0.322,0.000,0.000,0.000,-0.300,0.000,0.000,0.000,0.000,0.000,0.000
-0.163,0.000,0.000,-0.226,0.354,0.000,-0.494,0.000,0.000,-0.066,0.000,0.000,0.000,0.150,-0.333,0.273,0.000,0.000,0.000,0.000
0.000,0.000,-0.242,0.140,0.000,0.000,0.000,0.213,0.450,0.000,0.000,-0.241,0.000,0.000,0.000,0.224,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.405,0.000,0.056,-0.247,0.000,0.000,-0.218,0.000,-0.327,0.000,-0.475,0.000,-0.013,0.000,-0.342,0.000,0.000
0.000,0.349,0.000,0.000,0.000,0.188,0.000,0.000,-0.063,0.000,-0.013,0.000,0.000,0.000,0.000,-0.161,-0.364,-0.182,0.000,0.000

0.393,0.000,0.000,0.000,0.394,-0.246,0.000,0.000,0.000,0.000,-0.091,0.000,0.000,-0.102,0.000,0.000,0.000,0.405,0.000,0.000
0.000,0.294,0.000,0.256,0.000,0.000,0.000,0.000,0.000,0.225,0.000,0.000,0.000,0.059,-0.207,0.000,0.000,-0.372,0.000,-0.225
0.000,0.000,0.476,-0.303,-0.129,0.000,0.179,0.393,0.158,0.000,0.131,0.000,0.000,0.000,0.000,0.310,0.196,0.215,0.000,0.000
