x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0.8705,0.1131,-0.2155,0.0839,0.1984,-1.0064,0.3536,-0.3533,-0.2365,0.299,-0.0374,0.3133,0.0212,0.6796,0.1768,0.0095,-0.6704,-0.5953,-0.4262,-0.0449
0.6176,-0.0413,-0.1445,0.3093,0.0393,-0.9798,0.0619,-0.642,0.2233,-0.035,0.3431,0.0781,0.1645,0.4407,0.5167,-0.1539,-0.7448,-0.1902,-0.2733,-0.2734
0.6017,0.0592,-0.5068,0.4498,0.1561,-0.8343,0.0687,-0.3552,-0.0648,0.0335,0.2987,0.0341,0.0311,1.0256,0.1653,0.2892,-0.4462,0.2122,-0.1764,-0.2276
0.5266,0.0735,-0.1615,0.5304,-0.1273,-0.754,-0.1341,-0.4066,0.301,0.1207,0.1141,0.2685,0.1276,0.2242,-0.0101,-0.121,-0.7024,-0.051,0.1619,0.2104
0.4122,0.4533,-0.7467,0.4618,-0.1451,-0.2876,-0.4172,-0.1604,-0.2192,-0.2072,-0.6777,0.2556,0.0376,0.3088,-0.4197,0.4595,-0.739,0.6713,0.0536,0.4097
0.5588,0.6978,-0.7196,0.2628,-0.256,-0.1229,-0.4913,-0.0026,-0.1592,0.2422,-0.1056,1.0985,0.7016,0.471,-0.2339,0.6892,0.3501,0.4865,-0.1008,0.1855
0.4377,0.6036,0.2192,0.5519,-0.0197,-0.3426,-0.4784,0.1321,0.2846,-0.0521,0.4153,1.2465,0.7227,0.8337,-0.3103,-0.324,-0.1948,0.0165,-0.4928,-0.146
0.4863,0.11,-0.4721,0.6842,0.2753,-0.8445,-0.6792,0.161,0.5828,0.0236,0.1105,0.8101,0.827,1.181,0.1674,0.0696,-0.6559,0.5702,-0.6235,-0.9489
0.8173,0.3687,-0.2022,0.1382,0.3016,-0.5258,-0.2925,0.0904,0.3361,-0.5023,-0.355,0.8586,0.9086,0.523,0.3861,0.6401,-0.3739,0.5028,-0.7718,-0.2826
0.8993,-0.5781,0.4111,-0.0521,-0.4185,-0.0685,-0.2375,0.346,0.5372,0.1473,-0.7293,0.4821,0.0672,0.1737,0.0769,0.1698,-0.8539,0.6566,-0.5949,0.174
0.8436,-0.0866,0.4311,-0.8304,-0.4337,-0.026,-0.1111,-0.0569,-0.161,0.0283,-1.0568,0.083,0.3127,0.0416,-0.1733,0.3845,-0.4442,0.3275,-0.7131,0.0444
0.5518,-0.1677,0.4643,-1.1012,-0.3066,-0.2381,-0.1471,-0.2154,0.0931,0.1144,-1.0356,0.178,0.2689,-0.2401,-0.1347,0.2808,0.1098,0.2016,-0.8987,-0.5572
0.4889,-0.0385,0.9815,-1.6515,0.0102,-0.3508,-0.1379,-0.2644,0.3285,0.4064,-1.4252,0.1292,0.1896,-0.2521,-0.3354,-0.327,1.2079,-0.5113,-0.8283,-0.7122
0.5553,0.5519,1.1994,-2.096,1.7528,-0.1761,0.5344,-0.1781,-0.1428,0.6771,-0.04,0.6594,0.0244,-0.2468,-0.1094,-0.2571,0.7172,-0.6547,-1.4991,-0.7223
