0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10.188,0.000,0.000,0.000,0.000,0.000,0.174,0.000,0.000,0.000,0.000,0.000,0.004
0.791,-0.152,0.000,0.021,0.000,-0.172,0.000,0.019,0.016,0.000,0.000,0.000,0.000
0.000,1.314,0.000,0.000,0.000,0.000,-0.194,0.000,0.175,0.000,0.000,0.000,0.000
0.000,646.939,0.000,0.000,0.000,0.000,-87.092,0.000,0.000,0.205,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000
19.537,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.024
1.432,0.090,0.000,0.000,0.000,0.000,-0.123,0.000,0.067,-0.000,0.000,0.000,0.011
-21.396,-0.406,0.000,0.000,0.001,0.000,1.419,0.000,0.000,0.000,0.000,-0.140,0.119
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.820
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-26.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.548,0.000,0.000
-29.786,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.253,1.212,0.000

1.326,0.005,0.000,-0.001,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-14.085,0.595,-0.342,0.279,0.000,1.907,-0.287,0.109,0.000,-0.000,-0.086,0.000,0.000
0.000,-0.051,1.188,0.025,-0.000,0.000,-0.018,0.020,0.000,-0.000,0.000,0.000,0.002
0.000,-1.435,0.000,0.870,-0.000,0.000,0.522,-0.071,-0.136,0.000,0.000,0.000,0.015
0.000,-747.359,0.000,0.000,0.769,0.000,291.196,0.000,-56.725,-0.165,0.000,0.000,-12.439
-0.087,0.000,0.000,0.000,0.000,1.532,-0.002,0.000,0.000,-0.000,0.000,0.001,0.000
-37.742,0.000,0.000,0.000,0.000,-3.535,0.656,0.000,0.364,0.000,0.000,-0.032,0.000
