x0,x1,x2,x3,x4
-0.1027,0.0095,0.0753,-0.1805,-0.5153
0.1016,0.3601,0.2119,-0.2867,-0.167
0.2251,0.2219,-0.0401,-0.3372,0.1873
0.3277,0.2398,-0.0354,-0.6096,-0.2988
0.1202,0.2468,-0.2501,-0.4701,-0.2489
0.3186,0.2872,-0.2454,0.1143,-0.0212
-0.0324,-0.072,0.0749,-0.0314,-0.3888
-0.0131,-0.3309,0.4196,-0.2232,-0.1498
-0.0772,-0.2411,0.4494,-0.3103,-0.2305
0.051,-0.2349,0.1521,-0.4025,-0.2729
0.1216,-0.3233,0.3076,-0.257,0.0716
0.0392,0.2982,0.3278,-0.2567,0.2344
0.1243,0.353,0.3416,-0.3279,0.4033
0.4168,0.2919,0.0438,-0.3363,0.3605
0.4341,-0.1127,0.141,-0.5023,0.1176
0.6264,-0.335,-0.1668,-0.6247,0.4528
0.6235,0.1772,-0.1242,-0.5711,0.1752
0.3963,0.6679,0.0126,-1.0417,-0.118
0.7019,0.8835,-0.0936,-0.6257,-0.3069
0.6564,0.6351,-0.1493,-0.6166,0.2514
0.5717,0.7182,0.0002,-0.662,0.4074
0.5237,0.4333,-0.4817,-0.5912,0.3063
0.3486,0.499,-0.3886,-0.6183,0.4154
0.8956,0.3759,-0.6051,-0.8569,0.3422
0.7873,0.7107,-0.7128,-0.3083,0.2729
0.5024,0.3683,0.1102,-0.5489,0.342
0.297,0.2689,-0.0992,-0.6137,0.481
0.3161,0.312,-0.0322,-0.5427,0.6448
0.3924,0.4537,0.1595,-0.6648,0.148
0.4114,0.693,0.3003,-0.4431,-0.0045
0.1596,0.4268,0.5907,-0.9759,-0.2004
0.6073,0.167,0.4735,-0.9562,-0.2605
0.6212,0.4669,0.1174,-0.7223,-0.497
0.463,0.7913,-0.0537,-0.6036,0.4104
0.2766,0.5042,-0.0237,-0.8788,0.6003
0.439,0.1607,-0.3263,-0.8274,0.0998
0.56,0.1306,-0.8043,-0.7707,0.4989
0.3566,0.4037,-0.5267,-0.8319,0.1693
0.2704,0.4651,-0.5675,-0.6191,0.3919
0.4062,0.279,-0.5154,-0.4741,0.3693
0.227,0.2801,-0.3029,-0.2986,0.3159
0.0935,0.2006,0.339,-0.5376,0.5139
0.2727,0.587,0.1362,-0.5543,-0.1073
0.3436,0.6402,0.3678,-0.7146,0.3571
0.4693,0.5625,0.3103,-0.6283,0.3609
0.4837,0.2174,0.449,-0.2984,0.2765
0.5861,0.0138,0.1948,-0.4976,0.1547
0.5535,-0.0972,0.3258,-0.7986,0.1909
0.5938,0.5038,0.3456,-1.0557,0.1576
0.5803,0.6909,0.3219,-0.6696,0.2201
0.2389,0.7937,0.0083,-0.2763,0.2352
0.3713,0.2654,-0.1095,-0.325,-0.1719
0.1881,0.1849,0.2994,-0.431,-0.1525
0.5429,0.1377,0.6159,-0.5474,-0.0431
0.1187,0.1178,0.5988,-0.5745,0.1685
0.2127,0.3863,0.7315,-0.5532,1.0247
0.3393,0.3554,0.5632,0.0169,1.0488
0.0062,-0.2323,0.7016,-0.3847,0.4154
-0.0866,-0.5989,1.1915,0.1249,0.5067
-0.5148,-0.5597,1.1621,0.0233,0.7174
-0.6617,-0.2066,1.0861,-0.2552,0.2024
-0.7409,0.1626,0.7346,-0.4697,-0.054
-0.4757,0.1579,0.7291,-0.6752,0.0573
0.0806,0.4826,0.2486,-0.6885,-0.4483
0.2157,0.5481,0.3021,-0.4477,-0.3929
-0.179,0.7006,-0.2416,-0.1145,-0.3916
-0.4091,-0.3349,0.338,-0.3405,-0.2228
-0.3365,0.0925,0.6514,-0.4547,-0.2918
-0.3186,0.0521,0.7991,-0.4477,-0.3799
-0.1671,0.0744,0.4159,-0.2799,-1.0042
0.4405,-0.1735,0.738,-0.7614,-0.5542
0.3426,0.1914,0.4208,-0.9928,-0.7682
1.1672,0.6185,-0.2014,-1.1183,-0.3865
0.7392,-0.6937,-0.8042,-1.0483,-0.1358
0.3884,0.0797,-0.9435,-0.6155,-0.0139
0.151,0.3683,-0.3541,-0.6847,0.1539
0.0912,0.6335,-0.0823,-0.5832,0.023
-0.1305,0.7547,-0.3442,-0.5382,-0.0562
-0.6105,0.9156,-0.3873,-0.4263,-0.0629
-0.179,0.5372,-0.1445,0.4106,0.1198
-0.6155,0.2727,0.9138,0.0024,0.3634
-0.8861,-0.2216,1.4897,-0.0915,-0.4078
-0.9472,-0.0726,1.5791,-0.3023,-0.7431
-0.587,-0.1758,1.348,-0.2592,-0.7437
-0.4772,-0.1567,0.8693,-0.2342,-0.8034
-0.5763,0.0446,0.6961,-0.0945,-0.6397
-0.57,-0.9345,0.8036,-0.2841,-0.9732
-0.5358,-0.7387,0.8299,-0.3757,-0.9375
-0.6102,-1.4218,0.8902,-0.2377,-0.9605
-0.2378,-1.1317,1.1469,-0.9519,-0.9275
-0.1417,-0.5491,0.7568,-0.8512,-0.6001
0.2851,-0.302,0.5314,-1.0012,-0.4701
0.113,0.3019,0.1445,-1.1314,-0.8727
0.2406,0.7858,-0.0266,-0.5094,-0.5841
-0.0514,0.4968,-0.2362,-0.1847,-0.2828
-0.1689,0.5984,0.184,-0.021,-0.1979
-0.0553,0.3091,0.936,-0.1729,-0.2124
0.0595,0.3543,0.628,-0.1734,-0.7579
-0.0276,0.018,0.4178,-0.0513,-0.8928
-0.2098,-0.1711,0.6909,-0.2175,-0.8516
-0.3851,0.1228,0.608,-0.2561,-0.5453
-0.2332,0.121,0.6699,-0.3662,-0.5745
0.0272,0.1993,0.6132,-0.1664,-0.631
0.0195,0.4289,0.6796,-0.2407,-0.5226
-0.1743,0.3647,0.7687,-0.4752,-0.5256
-0.1957,0.5169,0.7126,-0.4051,-0.6805
-0.3179,0.4964,-0.5208,-0.5552,-0.8883
-0.3179,0.7017,0.368,-0.1487,-0.1193
-0.268,0.853,-0.1323,-0.2777,0.2463
0.2548,0.9198,0.1078,-0.3287,0.1518
0.2759,0.5463,-0.183,-0.459,0.0867
0.4615,0.8123,0.8039,-0.7283,-0.32
0.4214,0.921,0.3678,-0.416,-0.3223
0.165,0.8786,1.1855,-0.7313,-0.0996
0.1991,1.1969,0.8945,-0.2561,-0.6475
0.2794,0.8999,0.2261,-0.3078,-0.9526
0.6855,0.8667,-0.2169,-0.663,-1.0607
0.4819,0.884,-0.1311,-0.727,-0.5172
0.3537,0.8894,-0.7171,-0.6791,-0.4317
-0.2852,0.8549,-0.8235,-0.0877,-0.2641
-0.2099,0.8198,-0.4091,-0.2433,0.1472
-0.3281,0.8942,-0.3721,-1.3174,-0.2316
0.0963,0.8746,-0.8349,-0.3746,-0.5543
-0.1872,0.6141,-0.2779,-0.068,0.1686
-0.1962,0.4179,0.3278,-0.0403,0.1724
-0.0974,0.5456,0.022,-0.2272,-0.0167
-0.1103,0.4293,-0.0993,0.1253,-0.3674
-0.122,0.7217,0.3797,0.1163,-0.7284
-0.0903,0.2576,0.7498,-0.0687,-0.8214
-0.0361,0.2964,0.7692,-0.0855,-0.6601
0.2106,0.197,-0.087,-0.3238,-0.7964
-0.4912,0.7569,0.0781,0.2969,-0.6477
-0.4217,0.4923,0.7908,-0.0709,-0.2112
-0.4297,0.3752,0.4875,-0.0273,-0.8024
-0.0896,0.4464,0.6902,0.0237,-0.5161
0.0092,0.7231,0.6222,0.1999,-0.7083
-0.2894,0.8528,0.6041,0.0885,-0.7284
0.006,0.5181,0.4337,-0.0938,-0.7319
-0.2057,0.8959,-0.0619,-0.0865,-0.9117
-0.3576,0.8617,0.2518,0.2038,-0.69
-0.3758,0.3027,0.4244,0.2205,-0.492
-0.5234,0.6086,0.778,0.0619,-0.7561
-0.4589,0.7604,0.7625,0.025,-1.0369
-0.8112,0.7236,1.0685,0.1878,-0.8284
-0.5999,-0.4589,1.0051,-0.0213,-0.9452
-0.1318,0.0199,1.305,-0.2316,-0.9582
-0.2055,-0.4368,1.0536,-0.4618,-1.335
-0.2267,-0.4108,0.6613,-0.2384,-1.2443
-0.1181,-0.5928,0.6246,-0.005,-0.3032
-0.3544,-0.1951,0.2013,-0.2351,-0.7352
-0.3603,-0.1476,0.4284,-0.1343,-0.2995
-0.2962,-0.0519,0.6227,-0.0314,-0.6866
-0.5487,-0.1679,1.0965,-0.136,-1.041
-0.5754,-0.2265,1.3486,0.0964,-0.9997
-0.7988,0.0279,1.1389,0.7112,-0.733
