x0,x1,x2,x3,x4
-0.5527,-0.1983,-0.4075,0.4952,-0.0643
-0.4229,-0.1481,-0.5808,0.5039,-0.0496
-0.6479,-0.0301,-0.205,0.995,0.1436
-0.7838,-0.3521,0.0855,0.7247,0.1533
-0.9515,-0.3879,0.2731,0.5572,-0.5933
-0.525,-0.5684,-0.1162,0.3494,-0.9823
-0.4293,-0.4597,-0.346,0.316,-0.0693
-0.4871,-0.4538,-0.3839,0.3221,0.0777
-0.3833,-0.5288,-0.6366,0.2864,-0.1993
-0.493,-0.5416,-0.5633,0.1386,0.0175
0.0117,-0.316,-0.5747,0.126,-0.1051
-0.3329,-0.4013,0.0253,0.2401,0.3201
-0.3906,-0.2419,-0.0181,0.2499,-0.2111
-0.5023,-0.0947,-0.4253,0.3181,-0.3144
-0.5072,-0.1228,-0.548,0.3648,-0.1886
-0.4356,-0.3673,-0.4165,0.3004,-0.0733
-0.5871,-0.4264,-0.2708,0.4069,-0.3689
-0.6334,-0.4361,-0.0111,0.3899,-0.347
-0.6042,-0.394,-0.0945,0.5384,-0.1486
-0.7638,-0.5139,-0.1518,0.4999,-0.2485
-0.8498,-0.2981,-0.1505,0.6457,-0.3819
-0.6837,-0.6668,0.2831,0.5621,-0.4904
-0.7708,-0.4898,0.3473,0.5811,-0.6417
-0.7994,-0.8012,0.1728,0.3792,-0.654
-0.4182,-0.9277,-0.0857,0.1598,-0.8766
-0.4455,-0.6718,-0.2144,0.1849,-0.582
-0.5619,-0.3524,-0.5825,0.3314,-0.4801
-0.8472,-0.3159,0.131,0.6252,0.0343
-0.8438,-0.6537,0.5062,0.4403,0.0825
-1.0939,-0.4359,-0.2112,0.5808,-0.4315
-0.9259,-0.8515,0.3566,0.4858,0.0975
-1.2281,-0.729,0.4357,0.4244,-0.1443
-1.0753,-0.6817,0.4078,0.4251,-0.7667
-1.1955,-0.869,0.6022,0.4892,-0.7871
-1.0791,-0.9368,0.21,0.3917,-0.7849
-1.0197,-0.5663,0.8464,0.4199,-0.6274
-1.0547,-0.7139,0.4779,0.3154,-0.7965
-1.1295,-0.5521,0.1632,0.4519,-0.5519
-1.0419,-0.7377,0.3653,0.7053,-0.452
-1.1507,-0.6837,0.3156,0.3908,-0.5073
-1.0214,-0.6888,0.2617,0.3032,-0.4952
-1.1022,-0.5486,0.2193,0.4782,-0.7008
-1.0404,-0.8248,0.1887,0.4907,-0.6231
-1.3632,-0.8533,0.4232,0.6626,-0.1778
-1.536,-1.0175,0.7211,0.5287,-0.2582
