x0,x1,x2,x3,x4
-0.4869,-0.3657,0.1245,0.2368,-0.0549
-0.3063,-0.5679,0.1076,0.2281,-0.4148
-0.4639,-0.2388,0.6372,0.1399,-0.1498
-0.6841,-0.1586,0.7659,0.1692,-0.039
-0.5653,-0.1657,0.0049,0.1055,-0.0787
-0.3873,-0.1698,0.2063,0.1128,0.0037
-0.4607,-0.3774,0.2805,-0.2592,0.1047
-0.1196,-0.8177,-0.899,-0.4428,0.7338
-0.0405,-0.9049,-0.744,-0.369,0.341
0.1911,-0.3441,-0.3473,-0.1483,0.5087
-0.1025,-0.7723,-0.3124,-0.0108,0.0122
-0.1206,-0.4931,-0.1766,-0.1234,0.2504
-0.4883,-0.4862,-0.1934,-0.2193,1.2659
-0.1858,-0.0072,-0.472,0.2226,0.8886
-0.3869,-0.5663,-0.3219,0.1519,1.3679
-0.2451,-0.5588,-0.6194,0.0861,0.6124
-0.1523,-0.3952,-0.5486,0.0402,0.3691
-0.6139,-0.5055,-0.4827,0.1113,-0.0335
-0.258,0.382,-0.3892,-0.1529,0.2889
0.0779,-0.0173,-0.7195,-0.3476,0.0837
0.1079,-0.1888,-0.9654,-0.0726,0.4643
0.0405,-0.4433,-0.7785,-0.0547,1.281
0.0381,-0.0869,-0.1015,-0.2578,1.0695
-0.1161,0.1712,-0.2937,-0.1868,0.6627
0.0064,0.1409,-0.3664,-0.2487,0.3816
-0.1874,0.4096,-0.3144,-0.4878,0.4774
-0.1386,0.5763,-0.3567,-0.39,0.3983
-0.1969,0.6349,-0.4073,-0.0014,0.3268
-0.2476,0.0321,-0.3234,0.0207,0.4397
-0.5217,0.1357,-0.3361,0.1189,0.2766
-0.1841,-0.3031,-0.5471,-0.5063,0.3239
-0.168,-0.2549,-0.7496,-0.4466,0.2387
-0.2649,0.0779,-0.558,-0.1285,0.6075
-0.4701,-0.1725,-0.418,-0.5788,0.7146
-0.5588,-0.1716,-0.4824,-0.3946,0.5596
-0.6717,-0.3247,-0.4572,-0.1249,0.3597
-0.623,-0.7686,-0.2829,-0.1472,0.3005
-0.7718,-0.6842,-0.4297,-0.0049,0.1099
-0.6306,-0.5571,-0.2461,0.0172,0.2573
-0.315,-0.5432,0.0739,-0.2596,0.0562
-0.5042,-0.6234,-0.1103,-0.2751,0.0099
-0.5227,-0.1821,-0.231,-0.1135,-0.2208
-0.6983,-0.2852,-1.0369,0.1623,0.1613
-0.7933,-0.3312,-0.1779,-0.1355,0.2676
-0.7171,-0.5561,-0.6385,-0.5116,0.2036
-0.5686,-0.4907,-0.947,-0.1262,0.4209
-0.7055,-0.0364,-0.7804,-0.2929,0.6544
-0.5756,-0.1625,-0.401,-0.3247,0.7143
-0.4371,-1.0673,-0.6512,-0.2814,0.319
-0.2376,-0.1717,-0.6147,-0.6218,-0.023
-0.3537,-0.0909,-1.2074,-0.3386,0.1735
-0.3953,-0.588,-1.1399,-0.3085,0.6351
-0.6619,-0.3115,-1.0025,-0.0053,0.6202
-0.7745,0.0502,-0.6831,0.0085,0.392
-0.632,-0.2504,-0.6239,-0.1219,0.1993
-0.7057,-0.3161,-0.2271,-0.1867,0.2584
-0.6947,-0.2255,-0.696,-0.2412,-0.0059
-1.2589,-0.4519,-0.3941,0.0755,0.1915
-1.1869,-0.7804,-0.684,0.0916,0.0661
-0.6968,0.0407,-0.7077,-0.0891,0.054
-0.6122,-0.1975,-0.6235,-0.2967,0.4544
-0.3774,-0.1675,-0.8442,-0.3281,0.2397
-0.5608,-0.2738,-0.963,-0.3153,0.3945
-0.625,0.0891,-0.7007,-0.1335,0.5654
-0.5097,0.0019,-1.0345,-0.5,0.4666
-0.1716,0.2273,-1.4948,0.0912,0.3678
-0.3457,-0.5278,-1.1474,-0.2481,0.8494
-0.3747,-0.4156,-0.8906,-0.2983,1.6935
-0.1878,-0.3054,-1.0464,-0.4793,0.796
-0.327,-0.6843,-1.5416,-0.7842,0.7743
-0.0327,-0.451,-1.538,-0.741,0.8218
-0.0315,-0.2702,-1.2565,-0.4155,0.8062
-0.0549,-0.3435,-1.261,-0.3914,0.7812
-0.0555,-0.4018,-1.0181,-0.4996,0.9463
0.098,-0.0579,-0.9317,-0.436,0.4914
0.0073,0.4325,-0.924,-0.3525,0.495
