x0,x1,x2,x3,x4
0.0574,0.4725,-0.3176,-0.2402,0.4597
-0.0831,0.7985,-0.0126,-0.2332,0.4792
-0.1046,0.8611,-0.1578,-0.1927,0.7213
0.0276,0.7646,-0.1348,-0.3211,0.6895
0.0648,0.6049,0.0529,-0.3798,0.511
0.0039,0.3975,0.2272,-0.3042,0.3202
-0.0361,0.2208,0.0212,-0.1854,0.2252
-0.1025,0.3293,-0.1951,0.048,0.2164
-0.2752,0.3376,0.1454,-0.0709,0.2191
-0.2457,0.1924,0.0538,-0.1939,0.1938
-0.1548,-0.0441,0.0837,-0.4919,0.2226
-0.0433,0.2213,-0.0557,-0.4339,0.3461
-0.1338,0.125,-0.0582,-0.4233,0.2781
0.0159,0.1121,-0.1307,-0.4439,0.5034
-0.2289,0.3035,-0.0295,-0.3658,-0.1191
-0.3727,0.4104,0.0316,-0.3832,0.1535
-0.3759,0.6526,-0.1382,-0.3502,-0.1047
-0.4695,0.8057,-0.5227,-0.4933,0.6327
-0.5504,0.4207,-0.3242,-0.438,0.5713
-0.1068,0.3679,-0.4665,-0.4723,-0.5988
-0.265,0.4034,-0.3179,-0.5324,-0.0409
-0.2455,0.5399,-0.2491,-0.1268,0.1201
-0.4447,0.4183,0.1028,-0.6173,0.3947
-0.2475,0.7305,0.2066,-0.634,0.2987
-0.0858,0.7248,-0.2257,-0.5309,0.3482
-0.1512,0.5656,0.0855,-0.6736,0.5305
-0.1484,0.6232,-0.0078,-0.413,0.663
-0.0643,0.8226,-0.5739,-0.4138,0.3503
-0.0825,0.6031,-0.5567,-0.4455,0.2861
-0.4602,0.5526,-0.7388,-0.3649,0.2137
-0.6222,0.0655,-0.4087,-0.2599,0.0484
-0.4597,-0.1606,-0.3189,-0.1068,0.3078
-0.5472,-0.3343,-0.2291,-0.1188,0.5289
-0.4459,0.1903,0.0805,-0.0878,0.6233
-0.2329,0.3727,-0.0852,-0.4825,0.342
-0.1695,0.3723,0.0292,-0.6173,0.257
-0.197,0.3005,-0.3523,-0.4776,0.1314
-0.2718,0.1557,-0.7079,-0.7304,0.1228
0.113,0.1792,-0.6889,-0.7641,0.3862
0.2156,0.5213,-0.7854,-0.6975,0.501
0.2404,0.1889,-0.8981,-0.5729,0.5786
0.2163,0.1791,0.004,-0.394,0.535
0.0579,0.0163,0.0924,-0.5964,0.4507
-0.1948,-0.3132,-0.2901,-0.4285,0.8389
-0.1052,0.1756,-0.1128,-0.4292,0.5921
-0.0531,0.0609,-0.2269,-0.4773,0.3071
-0.0151,0.1944,-0.0086,-0.4683,0.5501
0.0635,0.0815,0.326,-0.3061,0.2034
